shift_id,logged_by,note
S100737,SUP-16,Next shift guard did not pitch. Had to cover.
S106900,SUP-23,client signed for the extra hrs but real reason is relief no show again
S108361,SUP-17,"masjien is stukkend, alles met die hand gedoen"
S100877,SUP-15,"generator fault, stayed to monitor"
S108162,SUP-22,"client asked us to stay for the delivery, ok'd by centre mgmt"
S102786,SUP-15,Covering for Mahlangu - booked off sick
S107007,SUP-14,
S106106,SUP-16,shift handover delayed by 30 min
S106463,SUP-21,double shift because relief never pitched
S102332,SUP-14,double shift because relief never pitched
S108056,SUP-16,Nexxt shift guuard did not pitch. Had to cover.
S103439,SUP-16,"no replacement sent, ngicela sort this out"
S100571,SUP-04,relief no show AGAIN
S101332,SUP-03,"handover late again, keys missing"
S107753,SUP-19,"no replacement sent, ngicela sort this out.."
S106253,SUP-06,Client requested deep clean before the audit - approved
S100168,SUP-12,all fine
S104252,SUP-12,sharp
S103008,SUP-10,"oorhandiging was laat, gewag vir sleutels"
S105453,SUP-23,akukho lutho
S106113,SUP-20,etra hours approved by client for the event setup
S106907,SUP-14,"oorhandiging was laat, gewag vir sleutels"
S106876,SUP-09,"oorhandiging was laat, gewag vir sleutels"
S105345,SUP-20,"next shift akafikanga, ngihlale kuze kube 06h00"
S106814,SUP-01,"Mabaso didnt come in, covered the post"
S109082,SUP-16,"hanodver late again, keys missing"
S107738,SUP-16,"waited 50 min for handover, OB book not signed"
S107339,SUP-08,"additional cover requested by site manager, signed off"
S100205,SUP-10,no issues on site
S108984,SUP-21,Covering for Pillay - booked off sick
S104765,SUP-01,"waited 50 min for handover, ob book not signed"
S102055,SUP-11,"covering Wyk post, no show no call"
S101825,SUP-17,"late handover, waiting on paperwork"
S102559,SUP-21,no incidents
S106334,SUP-22,Client asked for extra patrol aftter the break-in Tuesday
S101061,SUP-05,"stocktake ran over, client asked us to remain, they know they pay for it"
S108139,SUP-06,"client asked us to stay for the delivery, ok'd by centre mgmt"
S106859,SUP-11,fine
S103877,SUP-11,sharp
S103656,SUP-13,"DOUBLE DUTY TODAY, FOURIE ON FAMILY RESPONSIBILITY LEAVE"
S105093,SUP-16,"client asked us to stay for the delivery, ok'd by centre mgmt.."
S105680,SUP-09,"client wanted extra man on the gate for the event, approved"
S101121,SUP-11,niks om te rapporteer nie
S108690,SUP-11,no incidents
S105807,SUP-24,klient het ekstra ure gevra vir stockake
S105217,SUP-11,shift handover delayed by 25 min
S105371,SUP-03,ok
S106224,SUP-09,"gedek vir Adams, siek gemeld"
S108070,SUP-07,stood in for Radebe
S104308,SUP-13,Next shift guard did not pitch. Had to cover
S105062,SUP-06,quiet shift
S101434,SUP-24,"scrubber broke down, had to do the floor manually.."
S103671,SUP-19,Covering for September - booked off sick..
S108354,SUP-03,"gedek vir Tshabaala, siek gemeld"
S108267,SUP-19,Centre mgr requested additionaal cover for stocktake
S108389,SUP-20,"requested by centre management for load in, signed off"
S103433,SUP-08,"stocktake ran over, client asked us to remain, they know they pay for it"
S106978,SUP-05,"next shift akafikanga, ngihlale kuze kube six"
S106245,SUP-07,sharp
S106878,SUP-20,"September didt come in, covered the post"
S104428,SUP-09,"stocktake ran over, client asked us to remain, thhey know they pay for it"
S102342,SUP-18,.
S105877,SUP-01,all good
S106936,SUP-21,ok
S107938,SUP-03,"late handover, waiting on paperwork"
S108000,SUP-21,"handover late agn, keys missing.."
S103399,SUP-10,ntr
S101233,SUP-24,"took Jacobs shift as well, 2 posts 1 guard"
S101223,SUP-11,Client requested deep clean before the audit - approved
S105661,SUP-07,double shift because relief never pitched
S108187,SUP-15,"oorhandiging was laat, gewag vir sletuels !"
S106210,SUP-14,all good
S104295,SUP-01,"machine down again, took twice as long"
S101088,SUP-18,"scrubber broke down, had to do the floor manualyl"
S104328,SUP-07,Centre manager requested additional cover for stocktake
S101143,SUP-07,extra hours approved by client for the event seup
S107378,SUP-09,n/a
S109333,SUP-24,"lift out of order, everything carried up stairs, took long"
S106514,SUP-18,shift handover delayed by 25 min
S101642,SUP-18,Client requested deep clean before the audit - approved
S100593,SUP-23,"took fourie shift as wll, 2 posts 1 guard"
S105147,SUP-14,"client says stay till 06:00, dont know if office approved"
S105777,SUP-15,"client asked us to stay for the delivery, ok'd by centre mgmt"
S103083,SUP-03,"still on site, relief was suppose to come 0600"
S107881,SUP-15,Client requested deep clean before the audit - approved
S100164,SUP-14,"uFouire akezanga namhlanje, ngimele yena"
S106903,SUP-23,relief no show AGAIN
S106247,SUP-01,next shift guard did not pitch. had to cover
S108878,SUP-18,"handover late again, keys missing"
S102888,SUP-07,"double duty today, Mahlangu on family responsibility leave"
S107172,SUP-20,nothing to report
S105907,SUP-15,stood in for Mthembu
S107272,SUP-13,"aflos het nie opgedaag nie, moes aanbly"
S107719,SUP-21,Covered for Motaung again - 3rd time this month
S107751,SUP-07,"September didnt come in, covered the post !"
S100406,SUP-01,as per normal
S101019,SUP-02,"late handover, waiting on paperwork"
S104171,SUP-14,"requested by centre management for load in, signed off"
S100329,SUP-18,client signed for the extra hours but real reason is relief no show again
S104084,SUP-24,"late handover, waiting on paperwork"
S105455,SUP-20,Covering for Mahlangu - booked off sick
S104307,SUP-01,"requested by centre management for load in, signed off"
S107353,SUP-05,nothing to report
S105081,SUP-21,"control room says relief coming, nobody came"
S104524,SUP-09,all quiet
S106429,SUP-08,shift handover delayed by 30 min
